Dt,Adj Close,Close,Div,Factor,High,Low,Open,Volume
2000-01-03,100.4705,145.438,0.0,1.0,148.2472,143.875,148.25,8164300.0
2000-01-04,96.5415,139.75,0.0,1.0,144.063,139.641,143.531,8089800.0
2000-01-05,96.7142,140.0,0.0,1.0,141.5284,137.25,139.938,12177900.0
2000-01-06,95.1599,137.75,0.0,1.0,141.5,137.75,139.625,6227200.0
2000-01-07,100.6864,145.75,0.0,1.0,145.75,140.063,140.313,8066500.0
2000-01-10,101.0318,146.25,0.0,1.0,146.906,145.031,146.25,5741700.0
2000-01-11,99.8229,144.5,0.0,1.0,146.094,143.5,145.813,7503700.0
2000-01-12,98.8298,143.063,0.0,1.0,144.594,142.875,144.594,6907700.0
2000-01-13,100.1683,145.0,0.0,1.0,145.75,143.281,144.469,5158300.0
2000-01-14,101.5283,146.969,0.0,1.0,147.469,145.969,146.531,7437300.0
2000-01-18,100.7295,145.813,0.0,1.0,146.625,145.188,145.344,6488500.0
2000-01-19,101.5499,147.0,0.0,1.0,147.0,145.0,145.313,6157900.0
2000-01-20,99.9955,144.75,0.0,1.0,146.969,143.813,146.969,5800100.0
2000-01-21,99.7797,144.438,0.0,1.0,145.5,144.063,145.4969,6244800.0
2000-01-24,96.9517,140.344,0.0,1.0,145.844,139.406,145.656,7896900.0
2000-01-25,98.0527,141.938,0.0,1.0,141.938,139.0,140.516,9942500.0
2000-01-26,97.2755,140.813,0.0,1.0,141.547,140.094,141.0,5158100.0
2000-01-27,96.8869,140.25,0.0,1.0,142.219,138.125,141.8369,10922700.0
2000-01-28,93.8646,135.875,0.0,1.0,140.063,135.531,139.438,11916200.0
2000-01-31,96.4119,139.563,0.0,1.0,139.672,135.0,135.813,10768700.0
2000-02-01,97.3618,140.938,0.0,1.0,141.688,138.531,139.75,8419900.0
2000-02-02,97.4482,141.063,0.0,1.0,142.25,140.375,141.281,6205900.0
2000-02-03,98.9162,143.188,0.0,1.0,143.25,140.0,140.875,7997500.0
2000-02-04,98.506,142.594,0.0,1.0,144.0,142.125,143.188,4925400.0
2000-02-07,98.3549,142.375,0.0,1.0,142.781,141.438,142.563,5845800.0
2000-02-08,99.6933,144.313,0.0,1.0,144.563,143.625,143.969,4936400.0
2000-02-09,97.5993,141.281,0.0,1.0,144.469,141.266,144.469,8511500.0
2000-02-10,97.7936,141.563,0.0,1.0,142.563,140.875,141.625,6690600.0
2000-02-11,95.8075,138.688,0.0,1.0,141.938,138.031,141.844,9849800.0
2000-02-14,96.3688,139.5,0.0,1.0,139.781,138.313,139.781,8528800.0
2000-02-15,97.459,141.094,0.0,1.0,141.219,137.797,139.25,11078300.0
2000-02-16,96.0234,139.0,0.0,1.0,140.938,138.797,140.375,8845400.0
2000-02-17,95.5268,138.281,0.0,1.0,140.438,138.219,140.438,7584200.0
2000-02-18,93.476,135.313,0.0,1.0,138.875,134.625,138.875,9409200.0
2000-02-22,93.2385,134.969,0.0,1.0,136.344,133.531,135.188,16415400.0
2000-02-23,94.3395,136.563,0.0,1.0,137.469,134.5,135.625,12119000.0
2000-02-24,92.4398,133.813,0.0,1.0,137.031,133.094,136.688,17375000.0
2000-02-25,92.1052,133.328,0.0,1.0,136.719,133.125,135.188,10559900.0
2000-02-28,94.0373,136.125,0.0,1.0,136.688,132.719,133.375,13397800.0
2000-02-29,94.9439,137.438,0.0,1.0,137.438,135.75,136.063,8242500.0
2000-03-01,95.6348,138.438,0.0,1.0,139.0,137.219,137.625,6868000.0
2000-03-02,95.6996,138.531,0.0,1.0,139.125,137.344,138.688,7600200.0
2000-03-03,97.4914,141.125,0.0,1.0,141.719,139.7158,140.438,12770300.0
2000-03-06,96.5415,139.75,0.0,1.0,141.344,138.75,140.813,11967100.0
2000-03-07,94.6742,137.047,0.0,1.0,140.156,135.219,140.0,20062000.0
2000-03-08,94.5554,136.875,0.0,1.0,137.844,135.031,136.469,11808500.0
2000-03-09,97.3187,140.875,0.0,1.0,140.875,136.125,137.2513,5500900.0
2000-03-10,96.8006,140.125,0.0,1.0,142.0,139.531,140.188,7924600.0
2000-03-13,95.7427,138.594,0.0,1.0,140.469,136.5,136.688,10540500.0
2000-03-14,94.3827,136.625,0.0,1.0,140.094,136.156,139.281,8263900.0
2000-03-15,96.5847,139.813,0.0,1.0,140.438,136.063,136.875,10300800.0
2000-03-16,101.0966,146.344,0.0,1.0,146.844,140.875,141.625,25601400.0
2000-03-17,101.7647,146.938,0.371,1.0,148.0,145.438,145.813,10272900.0
2000-03-20,101.2453,146.188,0.0,1.0,147.344,144.781,146.875,12502300.0
2000-03-21,103.323,149.188,0.0,1.0,149.75,144.5,145.531,13612600.0
2000-03-22,103.9507,150.094,0.0,1.0,150.844,148.688,149.563,8260000.0
2000-03-23,105.7253,152.656,0.0,1.0,153.469,149.156,149.156,11654500.0
2000-03-24,106.353,153.563,0.0,1.0,155.75,151.719,152.875,11462900.0
2000-03-27,105.2276,151.938,0.0,1.0,153.781,151.8221,153.375,8798600.0
2000-03-28,104.6216,151.063,0.0,1.0,152.984,150.594,151.25,6334400.0
2000-03-29,104.7298,151.219,0.0,1.0,152.484,149.656,151.563,6747500.0
2000-03-30,102.9767,148.688,0.0,1.0,151.922,147.125,150.156,9491900.0
2000-03-31,104.1454,150.375,0.0,1.0,152.313,148.438,149.625,9249100.0
2000-04-03,104.7514,151.25,0.0,1.0,151.25,148.688,150.125,8508200.0
2000-04-04,103.9723,145.75,0.0,1.0,153.0,141.391,151.75,19585500.0
2000-04-05,103.323,149.188,0.0,1.0,150.813,147.625,147.875,8387200.0
2000-04-06,104.2212,150.484,0.0,1.0,151.688,149.0,150.25,6378500.0
2000-04-07,104.8813,151.438,0.0,1.0,152.125,150.5,151.563,6023600.0
2000-04-10,104.4701,150.844,0.0,1.0,153.109,150.313,151.75,9624200.0
2000-04-11,104.1671,150.406,0.0,1.0,151.625,148.375,150.0,9006400.0
2000-04-12,101.3102,146.281,0.0,1.0,151.156,146.156,150.3805,10779200.0
2000-04-13,99.9034,144.25,0.0,1.0,148.156,141.125,147.469,12225800.0
2000-04-14,94.1897,136.0,0.0,1.0,142.813,133.5,142.625,29604000.0
2000-04-17,97.4794,140.75,0.0,1.0,140.75,134.688,135.188,23918200.0
2000-04-18,100.0549,144.469,0.0,1.0,144.469,139.7807,140.563,11069200.0
2000-04-19,99.1242,143.125,0.0,1.0,145.125,142.5207,144.5,6553700.0
2000-04-20,99.6004,143.813,0.0,1.0,143.938,142.375,143.563,8537600.0
2000-04-24,98.5183,142.25,0.0,1.0,143.313,140.5,141.5,12893100.0
2000-04-25,102.6088,148.156,0.0,1.0,148.156,144.438,144.625,14102000.0
